Cabeçalho da Nota,,,,,,,,,,,,,,
Emissão:16/04/2026 08:37:29,Total de registros:207,Usuário: 1004 - PEDRO.NUNES,,,,,,,,,,,,
Liberação,Nome Parceiro (Parceiro),Pendente,Nro. Único,Nro. Nota,Nome Fantasia (Empresa),Vlr. Nota,Dt. Neg.,Previsão de entrega,Observação,Observação,NF-e,Tipo Operação,Dt. do Faturamento,Descrição (Tipo de Operação)
Aprovado,SKYSEA SHIPPING LTDA,Não,23286529,2413,J.M EMBALAGENS E BRINDES LTDA,"268,70",23/02/2026,23/02/2026 00:00,"DESCONSOLIDAÇÃO 
ref OC: 1849

SKYSEA SHIPPING LTDA
Rua Campos Mello 157 - Vila Mathias
Santos - SP - CEP: 11015-504
CNPJ: 51.161.889/0001-20
Telefone: +551333010154
Site: www.skyseashipping.com",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,23/02/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,AZ LOGISTICA E NEGOCIOS INTERNACIONAIS LTDA,Sim,23256869,2399,J.M EMBALAGENS E BRINDES LTDA,"2.550,03",19/02/2026,19/02/2026 00:00,FRETE RODOVIARIO DTA SANTOS X BETIM X SANTOS OC 663 tora > jm,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,19/02/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,AZ LOGISTICA E NEGOCIOS INTERNACIONAIS LTDA,Sim,23257027,2400,J.M EMBALAGENS E BRINDES LTDA,"2.375,12",19/02/2026,19/02/2026 00:00,FRETE RODOVIARIO DTA SANTOS X BETIM X SANTOS OC 1450 I CTE 3447 CTE 3448,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,19/02/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,AZ LOGISTICA E NEGOCIOS INTERNACIONAIS LTDA,Sim,23255973,2397,J.M EMBALAGENS E BRINDES LTDA,"1.633,54",19/02/2026,19/02/2026 00:00,"FRETE RODOVIARIO DTA SANTOS X BETIM X SANTOS OC 1513

CTE 3449",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,19/02/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,ECOPORTO SANTOS S.A.,Não,23228506,2379,J.M EMBALAGENS E BRINDES LTDA,"2.319,79",13/02/2026,13/02/2026 00:00,ARMAZENAGEM PROCESSO OC 1175,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,13/02/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,SUNTRANS LOGISTICA BRASIL LTDA,Não,23225101,36618,ZAP GRAFICA ONLINE LTDA,"1.494,04",13/02/2026,13/02/2026 00:00,"FRETE INTERNACIONAL 
ref: OC32804 OC32806

Suntrans Logistica do Brasil LTDA

CNPJ: 08.017.952/0002-00
Banco: Itaú Unibanco SA
Agencia: 7633 - 0 Conta: 98974 - 9
Chave PIX: 08017952000200",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,13/02/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,SUNTRANS LOGISTICA BRASIL LTDA,Não,23225011,36617,ZAP GRAFICA ONLINE LTDA,"548,25",13/02/2026,13/02/2026 00:00,"EXW CHARGES
ref: OC32804 OC32806

Suntrans Logistica do Brasil LTDA

CNPJ: 08.017.952/0002-00
Banco: Itaú Unibanco SA
Agencia: 7633 - 0 Conta: 98974 - 9
Chave PIX: 08017952000200",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,13/02/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,AMA TRANSPORTES LTDA,Sim,23213912,36598,ZAP GRAFICA ONLINE LTDA,"1.405,29",12/02/2026,12/02/2026 00:00,REMOÇAO DTA 32804 32806 l HK HENG BO BINDING + HANGZHOU INSIGHT,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,12/02/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,EMBRAPORT EMPRESA BRASILEIRA DE TERMINAIS PORTUARIOS S/A,Não,23177327,2359,J.M EMBALAGENS E BRINDES LTDA,"1.976,71",10/02/2026,10/02/2026 00:00,REF. DESPESAS COM ARMAZENAGEM ADUANEIRA OC 1518,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,10/02/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,TORA RECINTOS ALFANDEGADOS S/A,Não,23177460,2421,J.M EMBALAGENS E BRINDES LTDA,"721,69",10/02/2026,19/02/2026 00:00,ARMAZENAGEM IMPORTAÇÃO DESPESA ADUANEIRA OC 1450 cc,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,19/02/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,FEDERAL EXPRESS CORPORATION,Não,23164542,2463,J.M EMBALAGENS E BRINDES LTDA,"845,91",09/02/2026,09/02/2026 00:00,"SERVIÇOS E TAXAS DE IMPORTAÇÃO POR CURRIER 
Nro de Rastreio 886556116900
Fatura: 5-466-40556


Banco: Bradesco S/A (237)
Agência: 3381
Conta Corrente: 100119-1
CNPJ: 00.676.486/0001-82
Titular: Federal Express Corporation",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,09/02/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,AZ LOGISTICA E NEGOCIOS INTERNACIONAIS LTDA,Sim,23125708,2339,J.M EMBALAGENS E BRINDES LTDA,"4.451,17",05/02/2026,05/02/2026 00:00,"FRETE RODOVIARIO DTA SANTOS X BETIM X SANTOS  OCS 1557 1442 1318 34112

CTE 3443",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,05/02/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,TORA RECINTOS ALFANDEGADOS S/A,Não,23104495,2332,J.M EMBALAGENS E BRINDES LTDA,"2.333,63",04/02/2026,04/02/2026 00:00,ARMAZENAGEM IMPORTAÇÃO DESPESA ADUANEIRA OC 1450,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,04/02/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,BESTSUB GROUP CO LIMITED,Sim,23106088,2337,J.M EMBALAGENS E BRINDES LTDA,"910,00",04/02/2026,30/04/2026 00:00,"COMPRA DE FORNO DE SUBLIMAÇÃO PARA O SETOR BRINDES 
 
AUTORIZADO EM 29 JAN 2026",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),5104,05/02/2026 00:00,PEDIDO COMPRA  IMOBILIZADO J.M
Aprovado,BESTSUB GROUP CO LIMITED,Sim,23106137,2336,J.M EMBALAGENS E BRINDES LTDA,"730,00",04/02/2026,05/05/2026 00:00,"COMPRA DE ITENS DO FORNO DE SUBLIMAÇÃO PARA O SETOR BRINDES 
 
AUTORIZADO EM 29 JAN 2026",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),5105,05/02/2026 11:40,PEDIDO COMPRA USO CONSUMO PRODUÇAO J.M
Aprovado,TORA RECINTOS ALFANDEGADOS S/A,Não,23105020,2331,J.M EMBALAGENS E BRINDES LTDA,"698,54",04/02/2026,04/02/2026 00:00,ARMAZENAGEM IMPORTAÇÃO DESPESA ADUANEIRA OC1513 OC1514,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,04/02/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,ECOPORTO SANTOS S.A.,Não,23074461,36408,ZAP GRAFICA ONLINE LTDA,"1.977,00",03/02/2026,03/02/2026 00:00,ARMAZENAGEM PROCESSO J1BR2500112  - IMPORTACAO NF 795723,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,03/02/2026 14:48,PEDIDO COMPRA SERVICO
